id_talhao;dias_apos_emergencia
23683;29
23685;25
23692;31
22713;64
22815;81
22822;88
22831;73
22833;85
22849;81
22913;85
23133;70
23226;65
23690;27
22222;91
22847;69
22219;64
22351;31
22367;53
23740;40
23890;32
22683;85
22702;70
22633;8
22216;91
22233;93
22269;75
23285;37
23286;38
23287;43
23288;48
23437;34
23438;35
23471;35
23472;35
23636;28
23637;28
23638;27
23639;30
23703;31
23704;27
22667;87
22340;47
22345;37
22347;33
23758;40
23760;31
23910;30
22236;72
22279;63
22690;75
22733;69
23315;64
22631;9
22213;71
22220;92
22254;90
23183;68
23265;39
23290;43
23331;36
23456;42
23458;47
23460;42
23640;30
23642;31
23699;26
23701;31
23708;0
23710;0
24083;27
22672;85
22679;78
22681;71
22699;73
22704;74
22715;68
22722;88
22808;87
22813;88
22824;81
22881;70
22883;71
23133;75
23340;68
22256;69
22265;70
22272;76
22281;68
22947;57
22949;58
22990;63
22999;67
23326;53
22795;95
22809;93
22811;78
22812;80
22826;86
22845;70
22862;93
22928;87
23227;71
23312;75
22677;85
22712;67
22725;70
22726;69
22727;82
22728;85
22779;87
23311;68
22829;82
22842;65
22943;54
22944;60
22945;57
22946;59
22979;55
22042;108
25136;27
25145;5
25147;5
25236;16
25238;36
25240;36
25254;13
25256;35
25783;36
25813;14
25045;46
25047;45
25415;12
25422;8
25454;16
25397;29
25547;30
25554;34
25599;39
25606;30
25856;29
25865;39
25874;31
26099;22
26108;25
26408;16
26424;14
25706;39
26274;16
26276;15
26281;11
26283;8
26401;17
25315;18
25313;22
25106;39
25111;40
25161;11
25236;20
25263;39
25265;32
25270;23
25574;38
25522;7
25638;12
24970;48
25838;40
25899;28
25915;24
25933;38
25699;40
25724;40
26249;40
26333;35
25422;11
25420;14
25397;32
25445;19
25413;21
25447;20
25863;30
24997;28
25004;49
25095;23
25097;23
25113;18
25122;14
25154;28
25156;31
25231;21
25254;23
25540;30
25604;39
26215;46
26217;47
26406;18
25052;34
25054;35
25438;17
25729;44
25731;47
25497;17
26674;22
26685;44
26708;23
27042;30
26665;30
26692;30
26047;95
26049;94
26933;45
26874;46
26958;47
26744;42
26751;23
26767;23
26801;30
26960;36
26633;31
26649;28
26640;28
26642;31
26683;52
26919;38
26658;37
26442;82
26560;82
26676;32
26701;50
26715;33
26717;30
26719;50
26774;42
26785;42
26635;30
26735;33
26767;37
26767;36
25822;105
25824;104
25840;101
26876;56
26935;50
26540;81
26967;38
26699;33
26724;32
26624;33
26626;35
26674;29
26826;2
26824;3
26833;3
26817;27
25513;107
25515;115
26574;82
26733;31
26774;46
26599;50
26744;53
26769;30
26785;46
26590;38
26610;34
26667;36
26685;50
26683;57
27053;9
27108;9
27153;30
26867;40
26869;40
26874;52
26883;40
26926;56
22792;105
23629;33
23630;32
23631;35
22826;93
22827;96
22828;96
27039;16
26790;55
26905;74
26907;72
26770;56
26773;68
26804;50
26737;65
26756;57
26887;70
27055;0
27056;27
26672;46
26605;46
26636;45
26703;53
26588;72
26589;72
26604;49
23501;54
23792;36
22063;82
22213;75
22256;72
22663;75
22665;78
22708;85
22740;77
23183;72
26941;70
26943;68
27025;57
26902;64
26768;52
26777;64
26782;75
26702;52
26709;64
26607;47
26618;49
26634;55
26643;59
26652;68
26441;106
26691;63
26700;75
26718;75
26582;74
26616;50
26641;54
26659;69
26707;54
26716;57
27200;49
26750;60
26918;64
26877;72
26959;63
26961;60
26966;63
26857;72
26893;69
27434;38
26684;71
27095;27
27100;26
27102;24
26782;78
26741;58
26800;57
26752;81
26757;62
26909;75
26916;61
26868;63
26902;68
26900;70
26727;55
26734;58
26791;58
26725;52
26702;56
26911;75
26591;67
26593;72
26600;71
26602;69
26607;50
26625;58
26627;54
26632;51
26650;57
26657;64
26668;66
26675;66
26859;72
27041;58
27234;50
26934;71
26598;60
26623;51
27066;22
28029;16
26877;76
26891;81
26802;54
26743;56
26666;56
26691;67
26584;79
26609;65
26659;73
26716;61
27200;53
26916;64
26941;77
26943;75
26959;67
27111;61
26637;50
26670;53
26671;49
26706;48
27054;28
27089;30
27090;30
27106;41
26937;56
26938;59
26939;69
26940;69
26903;64
26920;63
26989;59
26720;70
26721;54
26603;49
26621;49
26637;55
26639;57
26654;67
26673;50
27087;29
26552;106
26704;49
26775;78
26793;56
26886;81
26777;73
26918;71
26961;66
26768;61
26950;76
26952;75
26582;80
26691;70
26700;79
26709;71
26718;81
27025;66
26541;111
26573;111
26607;55
26866;70
26868;69
26616;54
26623;58
26632;54
26634;60
26643;67
26650;63
26652;75
26677;62
26752;88
26927;76
26968;78
27295;57
26532;111
26682;80
26684;78
26693;65
26593;78
26598;65
26600;78
26657;70
26659;77
26716;65
26911;82
26943;79
26857;80
26859;80
26902;75
27066;28
27988;0
26750;71
26705;49
26722;54
26586;76
26587;75
26672;51
26805;62
26957;66
26872;77
26988;61
26990;61
26856;73
26688;77
26536;89
26755;72
27071;43
27074;30
27776;22
27840;21
27909;19
26753;76
26905;79
26937;60
26870;63
26956;66
26903;68
27021;61
22684;90
22700;70
22701;65
22717;72
22718;73
22720;72
22735;90
22817;75
22818;75
22854;72
22867;75
22868;77
22871;72
22884;71
22885;77
23268;66
22219;69
22217;80
26664;58
26863;79
26931;75
26932;69
26731;69
26864;73
26878;71
26880;69
26881;69
26896;61
26963;60
26965;63
26846;70
26847;70
26848;70
27433;38
26531;101
27096;21
27098;23
27099;25
27733;24
27734;23
27831;21
27832;21
26912;77
26913;77
26895;63
26995;61
26696;78
26697;78
26581;78
26596;64
26611;58
26612;59
27023;60
27024;60
26855;73
26955;62
26989;63
26738;67
26606;50
26636;50
26703;57
26720;76
26722;60
26906;77
26907;77
26972;62
26588;76
26589;76
26603;55
26604;55
26619;65
26620;54
26638;63
26653;72
26669;56
26723;51
26688;78
26614;57
26628;56
26629;63
26648;62
26662;70
26679;65
26695;77
26881;73
26728;73
26729;72
26730;72
26746;73
26747;73
26748;71
26678;60
26697;81
26698;56
26711;58
26713;71
26714;66
27164;54
27248;51
26581;81
26613;65
26645;58
26689;72
26622;54
27039;23
27557;25
27892;21
26872;81
26887;79
26888;79
26736;60
26737;73
26754;73
26804;58
26704;53
26721;62
26655;67
26673;57
26706;53
26687;77
26937;63
26939;76
26940;76
26889;79
26890;79
26955;65
26972;68
26803;58
26552;110
26790;66
26771;84
26988;68
26990;68
26686;77
26605;56
26539;111
26705;53
26720;81
26738;74
26937;66
26938;68
26572;111
26586;82
26587;81
26588;81
26589;81
26870;69
26637;63
26638;68
26639;64
26653;78
26654;74
26646;65
26647;55
26681;67
26797;58
26863;84
26945;75
26946;73
26947;77
26948;77
26864;77
26880;73
26882;64
26995;64
26962;66
26963;66
26964;66
26795;53
26761;87
26764;74
26765;77
26895;70
26896;68
26696;81
26712;78
26863;81
26931;82
26932;76
26596;70
26865;70
26878;78
26879;78
26880;76
26881;76
26611;62
26612;63
26614;62
26630;61
26631;60
26644;66
26646;69
26648;67
26663;66
26664;65
26694;70
26914;83
26915;81
26928;83
26929;79
26930;0
26597;65
26613;70
26661;71
26662;76
26663;70
26680;59
26695;84
26912;84
26946;77
26745;83
26731;78
26728;78
26729;77
26748;78
26763;77
26778;74
27498;39
26711;64
26713;77
26714;72
26594;76
26595;79
27447;44
27480;43
27481;43
27482;43
26969;46
26899;0
26994;42
27169;22
27217;28
26692;38
26717;36
26719;55
26585;58
26592;49
26601;45
26999;30
26615;30
26633;38
