id_talhao;fazenda_nome;setor_nome;codigo_talhao;textura_solo_descricao;safra_ocupacao_variedade;periodo_safra_classe;safra_data_inicio;safra_data_fim;data_plantio_inicio;data_plantio_fim;data_emergencia;data_colheita_inicio;data_colheita_fim;produtividade;ultimo_estadio_fenologico
22726;Boa Vista;Colina 1;92;Muito Argilosa 60%-100%;Safra 19/20 Algod�o A2;Safrinha;2019-01-01;2020-01-01;2019-02-04;2019-02-08;2019-02-11;0;0;74,5831400512463;Fn
11380;Boa Vista;Colina 1;92;Muito Argilosa 60%-100%;Safra 16/17 Soja S2;Outros;2016-01-01;2016-12-31;2016-01-28;2016-02-03;2016-02-05;2016-05-19;2016-05-21;59,0689796750451;R6
23318;Boa Vista;Colina 1;92;Muito Argilosa 60%-100%;Safra 19/20 Algod�o A1;Safrinha;2019-01-01;2020-01-01;2019-02-07;2019-02-08;2019-02-11;0;0;67,3190487145157;Fn
26249;Boa Vista;Colina 1;92;Muito Argilosa 60%-100%;Safra 20/21 Soja S5;Safra;2020-01-01;2020-12-31;2020-09-30;2020-10-02;2020-10-09;2020-01-21;2020-01-22;69,678215034644;R1
3388;Boa Vista;Colina 1;92;Muito Argilosa 60%-100%;Safra 14/15 Milho M2;Safra;2014-01-01;2015-01-01;2014-11-17;2014-11-17;0;2014-04-19;2014-04-21;0;0
5101;Boa Vista;Colina 1;92;Muito Argilosa 60%-100%;Safra 15/16 Soja S7;Outros;2015-01-01;2016-01-01;2015-12-08;2015-12-08;2015-12-13;2015-03-29;2015-04-04;0;0
3389;Boa Vista;Colina 1;92;Muito Argilosa 60%-100%;Safra 14/15 Milho M5;Safra;2014-01-01;2015-01-01;2014-11-17;2014-11-17;0;2014-04-23;2014-04-25;0;0
33258;Boa Vista;Colina 1;93;Argilosa 35%-60%;Safra 22/23 Soja S3;Safra;2022-01-01;2023-01-01;2022-10-08;2022-10-09;2022-10-16;2022-02-01;2022-02-03;69,1535640876716;R5.1
4169;Boa Vista;Colina 1;93;Argilosa 35%-60%;Safra 15/16 Soja S5;Outros;2015-01-01;2016-01-01;2015-12-10;2015-12-12;2015-12-23;2015-04-03;2015-04-08;0;R5.1
29441;Boa Vista;Colina 1;93;Argilosa 35%-60%;Safra 21/22 Soja S9;Safra;2021-01-01;2022-01-01;2021-10-05;2021-10-10;2021-10-15;2021-02-02;2021-02-04;68,2411041874026;R5.3
2622;Boa Vista;Colina 1;93;Argilosa 35%-60%;Safra 14/15 Milho M6;Safra;2014-01-01;2015-01-01;2014-11-04;2014-11-06;0;2014-03-29;2014-04-02;0;0
25927;Boa Vista;Colina 1;93;Argilosa 35%-60%;Safra 20/21 Soja S1;Safra;2020-01-01;2020-12-31;0;2020-10-05;2020-10-11;2020-01-25;2020-01-26;71,567958185035;R5.4
19475;Boa Vista;Colina 1;93;Argilosa 35%-60%;Safra 18/19 Milho M3;Safrinha;2018-01-01;2019-01-01;2018-03-03;2018-03-08;2018-03-08;2018-08-04;2018-08-06;92,3272224320857;V12
